,0,Year,Manufacturer,Model,Price,Mileage,Certified Pre-owned?,Color
0,"2017 Lexus RX 350 Description: Used 2017 Lexus RX 350 for sale - $37,500 - 13,128 miles with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Premium Package, Heated SeatsCertified Pre-Owned:No Transmission: 8-Speed AutomaticColor: Nightfall Mica",2017,Lexus, RX 350,37500,13128,No, Nightfall Mica
1,"2017 Lexus RX 350 Description: Used 2017 Lexus RX 350 for sale - $35,672 - 44,520 miles with Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Premium Package, Heated SeatsCertified Pre-Owned:No Transmission: AutomaticColor: Caviar",2017,Lexus, RX 350,35672,44520,No, Caviar
2,"2017 Lexus RX 350 Description: Used 2017 Lexus RX 350 for sale - $34,990 - 45,191 miles with Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Premium Package, Heated SeatsCertified Pre-Owned:No Transmission: 8-Speed AutomaticColor: Atomic Silver",2017,Lexus, RX 350,34990,45191,No, Atomic Silver
3,"2014 Lexus RX 350 F Sport AWD Description: Used 2014 Lexus RX 350 F Sport AWD for sale - $20,989 - 68,234 miles with Leather Seats, Alloy Wheels, BluetoothCertified Pre-Owned:No Transmission: AutomaticColor: Silver Lining Metallic",2014,Lexus, RX 350 F Sport AWD,20989,68234,No, Silver Lining Metallic
4,"2015 Lexus RX 350 F Sport AWD Description: Used 2015 Lexus RX 350 F Sport AWD for sale - $23,990 - 65,077 miles with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Premium Package, Heated SeatsCertified Pre-Owned:No Transmission: 6-Speed AutomaticColor: Gray",2015,Lexus, RX 350 F Sport AWD,23990,65077,No, Gray
5,"2017 Lexus RX 350 AWD Description: Used 2017 Lexus RX 350 AWD for sale - $29,556 - 62,452 miles with Sport Package, Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Adaptive Cruise Control, Technology Package, Adaptive Suspension, Premium Wheels, Blind Spot Monitoring, Heat Package, Parking Sensors, Premium Package, Heated Seats, Tow Package, Cold Weather Package, Luxury Package, Multi Zone Climate Control, Bluetooth, Backup Camera, Remote StartCertified Pre-Owned:No Transmission: AutomaticColor: Brown",2017,Lexus, RX 350 AWD,29556,62452,No, Brown
6,"2015 Lexus RX 350 F Sport AWD Description: Used 2015 Lexus RX 350 F Sport AWD for sale - $18,575 - 117,694 milesCertified Pre-Owned:No Transmission: AutomaticColor: Starfire Pearl",2015,Lexus, RX 350 F Sport AWD,18575,117694,No, Starfire Pearl
7,"2008 Lexus RX 350 AWD Description: Used 2008 Lexus RX 350 AWD for sale - $8,499 - 138,998 miles with Performance Package, Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Premium Wheels, Heat Package, Premium Plus Package, Premium Package, Heated Seats, Multi Zone Climate Control, Audio Package, Bluetooth, Backup CameraCertified Pre-Owned:No Transmission: AutomaticColor: Gray",2008,Lexus, RX 350 AWD,8499,138998,No, Gray
8,"2012 Lexus RX 350 AWD Description: Used 2012 Lexus RX 350 AWD for sale - $16,000 - 104,501 miles with Sunroof/Moonroof, Navigation System, Alloy Wheels, BluetoothCertified Pre-Owned:No Transmission: 6-Speed AutomaticColor: Silver",2012,Lexus, RX 350 AWD,16000,104501,No, Silver
9,"2017 Lexus RX 350 AWD Description: Used 2017 Lexus RX 350 AWD for sale - $32,390 - 46,234 miles with Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Premium Wheels, Blind Spot Monitoring, Heat Package, Parking Sensors, Premium Package, Heated Seats, Multi Zone Climate Control, Bluetooth, Backup CameraCertified Pre-Owned:Yes Transmission: 8-Speed AutomaticColor: Nebula Gray Pearl",2017,Lexus, RX 350 AWD,32390,46234,Yes, Nebula Gray Pearl
10,"2009 Lexus RX 350 AWD Description: Used 2009 Lexus RX 350 AWD for sale - $10,485 - 121,677 miles with Performance Package, Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Premium Wheels, Premium Plus Package, Premium Package, Heated Seats, Multi Zone Climate Control, LE Package, Bluetooth, Backup CameraCertified Pre-Owned:No Transmission: 5-Speed AutomaticColor: Gray",2009,Lexus, RX 350 AWD,10485,121677,No, Gray
11,"2015 Lexus RX 350 FWD Description: Used 2015 Lexus RX 350 FWD for sale - $19,495 - 107,763 miles with Sport Package, Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Preferred Accessory Package, Preferred Package, Premium Wheels, Blind Spot Monitoring, Heat Package, Parking Sensors, Premium Package, Heated Seats, Tow Package, Luxury Package, Multi Zone Climate Control, LE Package, Appearance Package, Audio Package, Bluetooth, Backup Camera, Remote Start, Comfort PackageCertified Pre-Owned:No Transmission: 6-Speed AutomaticColor: White",2015,Lexus, RX 350 FWD,19495,107763,No, White
12,"2012 Lexus RX 350 FWD Description: Used 2012 Lexus RX 350 FWD for sale - $14,965 - 107,299 miles with Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated SeatsCertified Pre-Owned:No Transmission: AutomaticColor: Gray**backed By Warranty**",2012,Lexus, RX 350 FWD,14965,107299,No, Gray**backed By Warranty**
13,"2012 Lexus RX 350 AWD Description: Used 2012 Lexus RX 350 AWD for sale - $16,500 - 94,011 miles with Leather Seats, Sunroof/Moonroof, Alloy Wheels, BluetoothCertified Pre-Owned:No Transmission: 6-Speed AutomaticColor: Gray",2012,Lexus, RX 350 AWD,16500,94011,No, Gray
14,"2015 Lexus RX 350 Description: Used 2015 Lexus RX 350 for sale - $20,849 - 92,969 miles with LE Package, Leather Seats, Sunroof/Moonroof, Alloy Wheels, Bluetooth, Memory Package, Backup Camera, Blind Spot Monitoring, Heat Package, Premium Package, Heated Seats, Multi Zone Climate ControlCertified Pre-Owned:No Transmission: 6-Speed AutomaticColor: Nebula Gray Pearl",2015,Lexus, RX 350,20849,92969,No, Nebula Gray Pearl
15,"2012 Lexus RX 350 AWD Description: Used 2012 Lexus RX 350 AWD for sale - $16,495 - 104,762 miles with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Premium Package, Heated Seats, Comfort PackageCertified Pre-Owned:No Transmission: 6-Speed AutomaticColor: Silver Pearl",2012,Lexus, RX 350 AWD,16495,104762,No, Silver Pearl
16,"2017 Lexus RX 350 Description: Used 2017 Lexus RX 350 for sale - $34,980 - 34,219 miles with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Backup Camera, Blind Spot Monitoring, Premium Package, Heated SeatsCertified Pre-Owned:Yes Transmission: 8-Speed AutomaticColor: Nebula Gray Pearl",2017,Lexus, RX 350,34980,34219,Yes, Nebula Gray Pearl
17,"2017 Lexus RX 350 AWD Description: Used 2017 Lexus RX 350 AWD for sale - $33,750 - 29,406 miles with Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Adaptive Cruise Control, Alloy Wheels, Backup Camera, Premium PackageCertified Pre-Owned:No Transmission: 8-Speed AutomaticColor: Matador Red Mica",2017,Lexus, RX 350 AWD,33750,29406,No, Matador Red Mica
18,"2017 Lexus RX 350 Description: Used 2017 Lexus RX 350 for sale - $36,499 - 27,346 miles with Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Premium Package, Heated SeatsCertified Pre-Owned:No Transmission: AutomaticColor: Nebula Gray Pearl",2017,Lexus, RX 350,36499,27346,No, Nebula Gray Pearl
